t_aux, position_x,position_y,position_z, velocity_x, velocity_y, velocity_z, latitudes, longitudes, altitudes, Bx_IGRF, By_IGRF, Bz_IGRF, vsun_x, vsun_y, vsun_z, Bx_IGRF_n, By_IGRF_n, Bz_IGRF_n, vsun_x_n, vsun_y_n, vsun_z_n
0,-79.54740241826661,-1020.98661131789,6730.293477799688,-6.806677698377012, -3.439075785533734, -0.5943285482630719, 81.38843501523102, 44.46808621662836, 450524.15866996156, 0.07766491945336937, 0.03795451875544392, 0.9962568016291504, -0.7793182280209868, -0.2492235956769251, -0.2492235956769251, 3645.3653874231954, 1781.4746985023407, 46761.39610013186, -0.7793182280209868, -0.2492235956769251, -0.2492235956769251
2,-93.16061139844874,-1027.8622217750694,6729.087847283964,-6.806460715271482, -3.4365016487507045, -0.6112869241598485, 81.31915949063936, 43.74395112273285, 450531.92291851836, 0.0789044441966103, 0.03781989739207678, 0.9961645165570178, -0.7793179747817168, -0.249223720937515, -0.249223720937515, 3701.820980848118, 1774.3295841570264, 46735.29793301059, -0.7793179747817167, -0.24922372093751496, -0.24922372093751496
4,-106.77362603943901,-1034.7328047944945,6727.848277726854,-6.806209521918353, -3.4339102006036386, -0.628242487587362, 81.24856932888085, 43.0311550398373, 450539.5498864305, 0.08014457442352511, 0.037674193220994086, 0.9960710327861259, -0.7793177215423016, -0.24922384619807303, -0.24922384619807303, 3758.2455847870247, 1766.6681912238491, 46709.08277983036, -0.7793177215423016, -0.24922384619807303, -0.24922384619807303
6,-120.38583025260711,-1041.5980494530083,6726.574825390385,-6.8059241299677105, -3.431301558422008, -0.6451944716163345, 81.17669887846148, 42.329659334544466, 450547.0393306528, 0.08138490657895207, 0.037517875933571886, 0.9959763581363608, -0.7793174683027594, -0.2492239714585903, -0.2492239714585903, 3814.620194029633, 1758.5133802969153, 46682.75345180069, -0.7793174683027593, -0.24922397145859027, -0.24922397145859027
8,-133.9974294772874,-1048.4580595324865,6725.267472241522,-6.805604536422529, -3.4286756834043364, -0.6621431326026169, 81.10357778467073, 41.63937188716801, 450554.3914731259, 0.08262513755115773, 0.037351398118295596, 0.9958804946896294, -0.7793172150631074, -0.24922409671905812, -0.24922409671905812, 3870.9304466891617, 1749.8871225841945, 46656.311171296016, -0.7793172150631074, -0.24922409671905812, -0.24922409671905812
10,-147.6083553119277,-1055.3128005804028,6723.926225010826,-6.80525074316265, -3.4260325887896586, -0.6790883858090033, 81.02923661830333, 40.960204878981315, 450561.606384302, 0.08386496445520125, 0.03717520577707779, 0.9957834462433887, -0.7793169618233105, -0.24922422197949404, -0.24922422197949404, 3927.162058579503, 1740.8110597317618, 46629.75765926107, -0.7793169618233105, -0.24922422197949404, -0.24922422197949404
12,-161.21881315564107,-1062.1623759116744,6722.551062593035,-6.804862744086349, -3.42337223420948, -0.6960304873083042, 80.95370391518985, 40.292048193596564, 450568.68427894666, 0.0851041330345929, 0.03698973122371996, 0.9956852144751509, -0.7793167085833863, -0.2492243472398893, -0.2492243472398893, 3983.3030166960375, 1731.30613891958, 46603.094081063886, -0.7793167085833862, -0.24922434723988926, -0.24922434723988926
14,-174.8281870045821,-1069.0064755375784,6721.142047386616,-6.804440557020182, -3.4206947401097243, -0.7129686707413371, 80.8770122590623, 39.63482310578572, 450575.62494936696, 0.08634233750613671, 0.03679540734013254, 0.9955858068256348, -0.7793164553433702, -0.24922447250022617, -0.24922447250022617, 4039.339038116608, 1721.393346361929, 46576.32317424556, -0.7793164553433702, -0.24922447250022617, -0.24922447250022617
16,-188.43668229336345,-1075.845202939239,6719.699159305584,-6.803984176885723, -3.4180000666343524, -0.7299031923021633, 80.79918914726548, 38.98840342844513, 450582.4286197124, 0.08757936801520536, 0.03659264527053548, 0.9954852247071084, -0.7793162021031738, -0.24922459776054873, -0.24922459776054873, 4095.2602471254245, 1711.0925656322202, 46549.446059441085, -0.7793162021031736, -0.2492245977605487, -0.2492245977605487
18,-202.04423062159697,-1082.6785237630713,6718.222405759845,-6.803493606234806, -3.4152882273629093, -0.7468339673058033, 80.72026303222603, 38.35266957713941, 450589.0953736642, 0.08881501046377499, 0.036381848503646855, 0.9953834713394518, -0.779315948862832, -0.24922472302083945, -0.24922472302083945, 4151.056631188053, 1700.4233034182919, 46522.46436388015, -0.779315948862832, -0.24922472302083945, -0.24922472302083945
20,-215.65103734227688,-1089.5065410023935,6716.711763595224,-6.80296883688538, -3.4125591808803657, -0.7637612516116813, 80.64026018244145, 37.727483594562884, 450595.625428215, 0.09004909484098166, 0.03616340470028132, 0.9952805477245115, -0.7793156956223988, -0.2492248482810719, -0.2492248482810719, 4206.7202220491245, 1689.404275739429, 46495.37914976768, -0.7793156956223987, -0.24922484828107186, -0.24922484828107186
