Tiempo,Roll_est,Pitch_est,Yaw_est,q0_real,q1_real,q2_real,q3_real,q0_est,q1_est,q2_est,q3_est,w0_est,w1_est,w2_est,w0_real,w1_real,w2_real,Roll_real,Pitch_real,Yaw_real
0,9.997225013683698,10.005100204701142,9.997225013683698,0.0789,0.0941,0.0789,0.9893,0.0789,0.0941,0.0789,0.9893,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,9.997225013683698,10.005100204701142,9.997225013683698
2,8.26913644449386,10.30312414364697,9.644172478554216,0.06402364514067503,0.09528502552217462,0.07697533696844877,0.990402208333934,0.06402548890459296,0.0952762785226696,0.07705359789125975,0.9903968449936674,-0.0298523137304649,0.0022679734773277597,-0.003949397670496064,-0.029566526020390716,0.002554650358635874,-0.0036661839101273363,8.26820770249601,10.304792768966326,9.63516138274606
4,5.457358416277682,10.809383518886257,8.947158768918504,0.03991187271672964,0.09749444153353047,0.07307620974335532,0.9917468143915834,0.039911977961984195,0.09749317266324864,0.07309419067688429,0.9917456098155955,-0.018379415830551114,0.002159582749757101,-0.003904950946851816,-0.018505591421958883,0.0020156392743868722,-0.003980487494033534,5.457161715259954,10.809628646055042,8.945075312990152
6,3.7042917359288987,11.173534377779406,8.374817437154944,0.02497311968733659,0.099401206296331,0.06934912826807023,0.9923136811958077,0.024976110541926357,0.09939123347581476,0.06949612114271152,0.9923043211416904,-0.011499433134756917,0.0016621375341545372,-0.0035738651770020357,-0.011773483427317292,0.0013964043736135541,-0.0038745713676230004,3.7023645411344814,11.175252032765123,8.357717505426129
8,2.582693504855407,11.480281880857843,7.847448672642656,0.015525698030621845,0.10129901640539778,0.06569185925626429,0.9925633690618529,0.015528527495399326,0.10129146733181138,0.065819253282497,0.992555655556366,-0.007385302294091535,0.002132550247191326,-0.00369115056317683,-0.007711929809072635,0.001808597293986566,-0.004031202810849342,2.580937618814731,11.481502451098738,7.832597670932729
10,1.8563939617271836,11.765872500596029,7.350946456791352,0.009510358479200667,0.10330733224765429,0.062056095500200345,0.9926662023040473,0.009511249687865557,0.10330504445095443,0.062102175597268654,0.9926635501046907,-0.004643487617707495,0.0018858210630650228,-0.003571921784064199,-0.003798256677339914,0.002728572544962533,-0.002719493993324257,1.8557548461212694,11.766228170358643,7.345568649488152
12,1.3822280237853937,12.000345727399102,6.904142618544337,0.005679071164817787,0.10505906517595766,0.05856951469785328,0.9927235027554836,0.005680321777430494,0.10505651503700554,0.05862077085863821,0.9927207400959864,-0.0030204691938075117,0.0016203174105553573,-0.0034145552144998863,-0.002956084129987061,0.0016831782904427016,-0.003345071432187568,1.3814727699484477,12.000718998624173,6.898152974630739
14,1.065538951745985,12.203036262532176,6.472141880289495,0.0032330969723806295,0.10663490253444596,0.05520735816651925,0.9927591310331575,0.0032311878944426163,0.1066382662204081,0.055141100037928555,0.9927624583398102,-0.001874856272461745,0.001534312945428866,-0.0033397848523115106,-0.0022183416470141068,0.0011860474270081213,-0.003661606282471059,1.0665647854842584,12.202565701693418,6.479892833920805
16,0.85527676444759,12.380048195141455,6.064268651668398,0.0017106648436110092,0.1080567880884898,0.05196185424230598,0.9927843521518122,0.0017063035758632843,0.10806480149776193,0.051782519008518095,0.9927928575138364,-0.0011773330275568097,0.0013133456409301927,-0.003213368367905559,-0.001876042287472537,0.0006082509840659263,-0.0038786198728752354,0.8580044918622924,12.378944532476604,6.0852505285400635
18,0.7165634542031608,12.527391044095376,5.725907378830331,0.000756086272175751,0.10928151726918967,0.04885010641842079,0.9928094708552099,0.0007587128475891343,0.10927663786736536,0.048966640778771296,0.9928042651308779,-0.000734095520896182,0.0011384211591652742,-0.003041635324339643,-0.00031075018253549507,0.0015636154949751528,-0.0026222767603335017,0.714792631840449,12.528051918327083,5.71226960753074
20,0.6144881907928158,12.674499670212926,5.379041819325828,0.00013847573749337628,0.11051792516463638,0.04579264958085085,0.9928186149977947,0.0001443640600696083,0.11050740783515209,0.046045103792647805,0.9928081085432864,-0.0004950761163936313,0.00133427578667905,-0.003045958575571418,-0.000913551248572919,0.0009201057708157663,-0.0034820003178245677,0.6105846990245964,12.675898421021039,5.349483535989919
22,0.5276828472601718,12.834887085593055,4.972378704467763,-0.0002732098961565537,0.11185728646390972,0.04275079792868487,0.992804231506768,-0.00027671252398518535,0.11186358494513261,0.04259209396049773,0.9928103420721716,-0.00032720759363155763,0.0013453985431390017,-0.0030418200636998455,-0.00013756762967004167,0.0015308821557003336,-0.0028294718895175964,0.5301449538054003,12.834059391510669,4.990966132724185
24,0.4671315798176724,12.969722409215821,4.634226970469184,-0.0005164115321938116,0.11300632827116698,0.03983624459379611,0.9927952340268671,-0.000519094161487402,0.11301116296808317,0.03971119540193778,0.9927996920555536,-0.00016389617650358157,0.0009549518358642346,-0.0028319791291278335,0.0003743960914175188,0.0014905065794724888,-0.002275864430076006,0.4690830628386742,12.969093810215808,4.648877181570134
26,0.4173504678104185,13.079786805351068,4.300938882122711,-0.0006535306621958164,0.11394212521369493,0.03705783113525651,0.9927957907601196,-0.0006579485825668185,0.11394978916531096,0.03686501691058346,0.9928020866119421,-0.00011449722874611505,0.000918560275766752,-0.002768654384864508,-0.00038804613221604645,0.0006416970612010171,-0.003020330582140883,0.42041671098757993,13.078802952078009,4.323538102919699
28,0.3801405084723177,13.179520726025341,4.027840248543389,-0.000743224685328372,0.11481047460754014,0.03436086238177102,0.9927926942085339,-0.0007395012846932686,0.11480391067536573,0.03452947045577661,0.9927876061381591,-6.459823080127885e-05,0.0008188802547096909,-0.0026391602701884356,0.0007140056425041114,0.0016003817470966778,-0.0018681286836396051,0.37745464832480863,13.180356808763143,4.008074429375632
30,0.3414940359812588,13.283553941877843,3.7300875219516607,-0.000811577424689385,0.11570648884963274,0.031706871598031795,0.9927769256351798,-0.000805706774320712,0.11569598673159615,0.03198234127643415,0.9927693182896387,-6.59186162236968e-05,0.0009723922854195721,-0.0026404022323997943,0.0001387699103037807,0.0011811193331660761,-0.002450594207633428,0.33709554286641963,13.284880964791085,3.697787557865247
32,0.30074264791719874,13.396085710955962,3.4122030821206257,-0.0008710691792228253,0.11666930223051884,0.02907734861516875,0.9927446917274556,-0.0008671763525041037,0.11666230879293209,0.029263403389254178,0.9927400500303964,-4.743943992173236e-05,0.0009526455242602964,-0.002590466743360271,0.0004239712914387945,0.0014262498617068986,-0.002126705928682242,0.2977550928997277,13.39696165515124,3.390381157631431
34,0.2654748892821487,13.4990965139062,3.1224575713358877,-0.0009074724125137062,0.1175577522096624,0.026526690579772153,0.9927112803207775,-0.0009023161125188316,0.11754830475290025,0.02678413208480058,0.9927054911421697,-2.0718277330612645e-05,0.0008239277339357541,-0.002486405289022811,-0.0001497238979499022,0.000697737860549158,-0.0026273830334829266,0.26133555108134476,13.500270698634667,3.0922565634389407
36,0.22674706827030205,13.594177805682424,2.801072730274692,-0.0009279008948785408,0.11836505683148857,0.02405565212232754,0.9926782852073361,-0.000928490512084744,0.11836595242088535,0.024035581499991986,0.992678664037272,-1.8252856762173567e-05,0.0007909785706764396,-0.0024485155601310826,-0.00030645237710702635,0.0005015710645016717,-0.0027299726738764193,0.22709355025731984,13.594068232197367,2.8034303949023838
38,0.19445999375992193,13.674053947407529,2.521207292783248,-0.0009336026566451153,0.11905225407381069,0.021678180689235313,0.9926508679631671,-0.0009344821435302775,0.11905372446921922,0.021641462077307824,0.9926514919911656,5.40836977140049e-06,0.0005844523746053035,-0.0023217004913519885,6.216412255485904e-05,0.0006399846448572242,-0.0022575722084613374,0.19507466600897172,13.673874848396311,2.5255190288833322
40,0.16602818552704318,13.738030128285827,2.2664179019813226,-0.000928196984056979,0.11960696840916772,0.01940218806769901,0.9926312843430398,-0.0009271306176525106,0.11960488021009467,0.019461710931979046,0.9926303717227007,5.0034859760813384e-06,0.0005256641751919326,-0.002239031627765681,-0.0008381702957059915,-0.0003173471946096599,-0.0030811548499610607,0.1650683420102755,13.738283457669764,2.2594317606892886
