Tiempo,Roll_est,Pitch_est,Yaw_est,q0_real,q1_real,q2_real,q3_real,q0_est,q1_est,q2_est,q3_est,w0_est,w1_est,w2_est,w0_real,w1_real,w2_real,Roll_real,Pitch_real,Yaw_real
0,9.997225013683698,10.005100204701142,9.997225013683698,0.0789,0.0941,0.0789,0.9893,0.0789,0.0941,0.0789,0.9893,0.01,0.01,0.01,0.01,0.01,0.01,9.997225013683698,10.005100204701142,9.997225013683698
2,10.006377924261999,9.989741402768168,9.564730260011329,0.0793463566096069,0.09367614570069363,0.07517133649306687,0.9895848652790167,0.0793463566096069,0.09367614570069363,0.07517133649306687,0.9895848652790167,-0.009107286780928597,-0.010848950697246396,-0.017456904700126594,-0.009107286780928597,-0.010848950697246396,-0.017456904700126594,10.006377924261999,9.989741402768168,9.564730260011329
4,8.503294143778126,8.671487451222372,7.135968582670854,0.06908979315058665,0.07984717718305369,0.056289996938473134,0.9928154234413232,0.06908979315058665,0.07984717718305369,0.056289996938473134,0.9928154234413232,-0.011405840133839652,-0.016809115205524992,-0.020305653680713433,-0.011405840133839652,-0.016809115205524992,-0.020305653680713433,8.503294143778126,8.671487451222372,7.135968582670854
6,7.020476206274268,6.98101808337083,4.749649779726779,0.058542760993670256,0.06324911287989893,0.03755769357457796,0.9955710494527761,0.058542760993670256,0.06324911287989893,0.03755769357457796,0.9955710494527761,-0.00968822417662814,-0.016386871044875816,-0.01715896160000174,-0.00968822417662814,-0.016386871044875816,-0.01715896160000174,7.020476206274268,6.98101808337083,4.749649779726779
8,5.8743888800952435,5.38137836547578,2.8513826607056765,0.05000246962934126,0.048141442149050445,0.022415628877228557,0.9973362994300442,0.05000246962934126,0.048141442149050445,0.022415628877228557,0.9973362994300442,-0.007392358549305169,-0.013828287932933257,-0.013125219621036773,-0.007392358549305169,-0.013828287932933257,-0.013125219621036773,5.8743888800952435,5.38137836547578,2.8513826607056765
10,5.048131019909884,4.047477011666658,1.4430303257596508,0.0435637946800563,0.035830712893537627,0.011017368142384644,0.9983471206979213,0.0435637946800563,0.035830712893537627,0.011017368142384644,0.9983471206979213,-0.005484991347210553,-0.010793014328065426,-0.00967136333077383,-0.005484991347210553,-0.010793014328065426,-0.00967136333077383,5.048131019909884,4.047477011666658,1.4430303257596508
12,4.45927303866203,3.000515081413017,0.4255830674924823,0.038793911298294716,0.026305878719709918,0.002691246990886442,0.9988972872025421,0.038793911298294716,0.026305878719709918,0.002691246990886442,0.9988972872025421,-0.004054775414790859,-0.008256532306317496,-0.0069809303508853796,-0.004054775414790859,-0.008256532306317496,-0.0069809303508853796,4.45927303866203,3.000515081413017,0.4255830674924823
14,4.033804990882324,2.2054727886841627,-0.29968450369388777,0.03523798071289373,0.019141179803317036,-0.003290452590391783,0.9991902085552906,0.03523798071289373,0.019141179803317036,-0.003290452590391783,0.9991902085552906,-0.003057085754876551,-0.0060727751194625664,-0.004982513045583703,-0.003057085754876551,-0.0060727751194625664,-0.004982513045583703,4.033804990882324,2.2054727886841627,-0.29968450369388777
16,3.71775306128311,1.621383568153792,-0.8095824926728624,0.03253367489516919,0.013911823667339836,-0.007519400413257487,0.9993455257204533,0.03253367489516919,0.013911823667339836,-0.007519400413257487,0.9993455257204533,-0.002351525879709695,-0.004385868972564306,-0.003475416769907777,-0.002351525879709695,-0.004385868972564306,-0.003475416769907777,3.71775306128311,1.621383568153792,-0.8095824926728624
18,3.4749220694920977,1.1983760048535093,-1.16044590681717,0.030422407454465075,0.0101452487803807,-0.010438474778408645,0.9994311328431585,0.030422407454465075,0.0101452487803807,-0.010438474778408645,0.9994311328431585,-0.0018710090010249547,-0.003147230465477314,-0.0023627570501013303,-0.0018710090010249547,-0.003147230465477314,-0.0023627570501013303,3.4749220694920977,1.1983760048535093,-1.16044590681717
