Tiempo,Roll_est,Pitch_est,Yaw_est,q0_real,q1_real,q2_real,q3_real,q0_est,q1_est,q2_est,q3_est,w0_est,w1_est,w2_est,w0_real,w1_real,w2_real,Roll_real,Pitch_real,Yaw_real
0,9.997225013683698,10.005100204701142,9.997225013683698,0.0789,0.0941,0.0789,0.9893,0.0789,0.0941,0.0789,0.9893,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,9.997225013683698,10.005100204701142,9.997225013683698
2,9.94775279076407,9.947869021476262,9.824712938240774,0.07823908190866763,0.09334107877131952,0.07595907841320917,0.9896445359231318,0.07866122522885592,0.09345522006127693,0.07749844886603857,0.9894809366087612,-0.0014000877957702472,-0.0016221900755525906,-0.005923175482481199,-0.0003812779811084732,-0.0005834334309509542,-0.00494050449210496,9.882114409649295,9.954324166445101,9.640865804329845
4,9.534513209772435,9.772487490659572,8.599278886684585,0.07605632829871083,0.09083972385832795,0.06693945269481849,0.9906980817423539,0.07620938055529411,0.09085233377862188,0.06738250564990755,0.990655127526576,-0.0033119442701612773,-0.003430062862882959,-0.013119769685110886,-0.00343380368372998,-0.00387499518403102,-0.012547524454177264,9.512295051866708,9.7766060994903,8.546362802783152
6,9.056082078656758,9.441031260538413,7.147087390641842,0.0723517412578984,0.0865590713487547,0.05184590653678255,0.9922624424412981,0.07341278066744604,0.08678303994878415,0.055440030205126334,0.9919705996967733,-0.0038998681380329127,-0.005190903940788776,-0.016849003056226185,-0.0054358400357631415,-0.006152918878643456,-0.019099224122764297,8.897104584026366,9.455198635107575,6.719253460933021
8,8.24284932042854,8.95731849750928,4.6916178718305925,0.0671253243296082,0.08046228841636936,0.030683323735938087,0.9940214004843967,0.0684029937595173,0.0807532866575864,0.03509264832146316,0.9937647826183617,-0.005562322016866248,-0.0069902255248124046,-0.023085865303464327,-0.007164740167539887,-0.00819452769284381,-0.025372858021294464,8.05348569629895,8.965703344593026,4.168507603089292
10,7.1421838874486046,8.25189884528478,1.530068616925786,0.06036224346480681,0.07246022706998988,0.006092412237016477,0.995524383212182,0.061161201223424146,0.07263257288931721,0.008810411217387834,0.9954427123017009,-0.007431946184283465,-0.008962051831664668,-0.024664252066293406,-0.004468940314173151,-0.0059179123978901115,-0.021915592524355054,7.026814723257585,8.252531196212704,1.2088281732041757
12,5.98620641185105,7.237775199162189,-1.0341311811603084,0.05202143892961987,0.06239257411439892,-0.014627365449394093,0.99658766637315,0.05267834466085944,0.06256056888653423,-0.012289792049238907,0.9965741960515391,-0.009102122356324622,-0.011111640316824337,-0.016288328961814844,-0.008910219280787599,-0.010906315728631948,-0.016220540745056685,5.893480498224033,7.231647548799374,-1.309043221970236
14,4.6502346272332264,5.870050367734154,-2.9608938601985053,0.04207669154725761,0.050199744837874795,-0.02681186105769953,0.9974921863118889,0.04182486609033814,0.05009744073332272,-0.0278572866440289,0.9974792722604962,-0.010922726005310973,-0.013240872846706298,-0.00840907640002585,-0.012006684738021588,-0.014498117836788773,-0.009174910805625606,4.685129811293071,5.877621261579951,-2.8387418676812297
16,3.2041415264013553,4.21068071253372,-3.968744521577597,0.03051473934846932,0.03618211877337423,-0.030576316815317896,0.9984111346602529,0.02919372562230818,0.03573303289444307,-0.03561647006913813,0.9982997264370397,-0.012721829448984175,-0.014834399572356726,-0.0006649876581070717,-0.014933873345754741,-0.017345392826309074,-0.002169954180805189,3.375632471320423,4.250392236861025,-3.3829657129925463
18,1.9335300143602643,2.480146675077342,-2.920258899432451,0.01729445180022726,0.021161116544134103,-0.02629100003362502,0.9992806874951438,0.017414382583395737,0.021201735291928665,-0.02583674285352126,0.9992895918694297,-0.014130751518369698,-0.015231410362149941,0.008047785113761138,-0.012516503002413009,-0.01369852777959266,0.009730991170809066,1.9187696729940407,2.4760151305924003,-2.9727301988754036
20,0.4447412105947477,0.765523663634507,-1.3094418713720042,0.0029788373598845165,0.006152011637314961,-0.015568039218521365,0.9998554472700982,0.003957084479891805,0.006635570672835732,-0.011452371843611071,0.9999045723784948,-0.014511835181565938,-0.014697248402811341,0.013601068769711549,-0.0160752361786065,-0.016275057766525124,0.011754201562767607,0.3303525034386418,0.710199029891229,-1.7820321919942894
22,-1.2851277209764032,-0.9193104532148861,-0.44846096410513814,-0.011142169973319311,-0.007933629691904948,-0.0035966733811906982,0.9998999817525682,-0.011245567302305751,-0.007977957580063246,-0.00400314577014599,0.9998969268043798,-0.013747744848864995,-0.013415806409960243,0.010465944060758615,-0.012995169729317127,-0.012727226062062136,0.011359520192213103,-1.2736679129850061,-0.9136670158406862,-0.4020319542123355
