Tiempo,Roll_est,Pitch_est,Yaw_est,q0_real,q1_real,q2_real,q3_real,q0_est,q1_est,q2_est,q3_est,w0_est,w1_est,w2_est,w0_real,w1_real,w2_real,Roll_real,Pitch_real,Yaw_real,usx,usy,usz
0,30.09313136402461,30.065234842204433,30.09313136402461,0.1771,0.3063,0.1771,0.9202,0.1771,0.3063,0.1771,0.9202,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,30.09313136402461,30.065234842204433,30.09313136402461,0.5,0.5,0.5
2,29.993873915257982,29.999334567624654,29.91137902208624,0.17688021766467604,0.30603915262755965,0.1759222230539931,0.9187517603213846,0.17696609592450366,0.3060348664295455,0.17608440052983093,0.9187055814093762,-0.0005342791218560548,-0.0006243854159045078,-0.002450223830640524,-0.0002533808583024961,-0.0003380947793039745,-0.002169042177373677,29.97832945414788,30.007522497226844,29.888699401843294,0.5,0.5,0.5
4,29.70539390925084,30.040127365534186,29.348861560411482,0.17602087090080507,0.30504627738582535,0.17219021098292409,0.9199532340842268,0.17604367605595378,0.3050451039834017,0.1722323245046484,0.9199413758779347,-0.0012811072510322385,-0.0013620672104738584,-0.005102683392015621,-0.0013138849987811676,-0.0014988098506880283,-0.005143219477296848,29.701288143699433,30.042250299781653,29.34295342014839,0.5,0.5,0.5
6,29.26224109411862,30.071917910904332,28.472755297989153,0.17452196053033858,0.30330588422071697,0.16590597350608738,0.9219668290371045,0.17472540870493186,0.3032959693919969,0.16628446240012057,0.9218633651836734,-0.0017128994637003005,-0.0021166983093950705,-0.007488380593056224,-0.0020855042143131377,-0.002386124694180487,-0.007826482223065848,29.225374071744223,30.090511545972195,28.41959173287517,0.5,0.5,0.5
8,28.585209485159726,30.127241653510875,27.16836710570436,0.17238348798696013,0.300802496138011,0.15707156240641248,0.9247325644043255,0.1725697389498339,0.3007937307866954,0.15741733507155123,0.9246418762619277,-0.002403336855875054,-0.0028922839260372844,-0.010059650088490087,-0.002782010404300099,-0.003213798625820319,-0.010432560879979777,28.551308751188763,30.143712574317203,27.11966783832298,0.5,0.5,0.5
10,27.693614126133983,30.18464778673274,25.463364252738447,0.16960545531608437,0.29752064947373913,0.14568907149461752,0.9281649352947915,0.16967502587166367,0.29751746444934285,0.1458176657216331,0.9281330466622653,-0.003106558080506563,-0.0036770140940030034,-0.012658566497366871,-0.0022535618462000855,-0.0028319770694188572,-0.011811572327606282,27.68089504475898,30.190533713409383,25.44519284046746,0.5,0.5,0.5
12,26.631939405314153,30.210732286358947,23.42010363416217,0.16618786517485484,0.293444894164353,0.13176063657262826,0.932153861874461,0.1662668438972298,0.2934414608047578,0.13190712548585704,0.9321201402969912,-0.003741222730765503,-0.0044783588291834224,-0.01520039557656284,-0.0036733840496497843,-0.00441387241091677,-0.01513670071463722,26.617394065094032,30.21707856422728,23.399348482239684,0.5,0.5,0.5
14,25.346733679365784,30.21489713872066,20.95929957105309,0.16213072083214167,0.288559794016652,0.11528843539626377,0.9365657752146397,0.1620270667457655,0.28856406775581545,0.1150953221718201,0.9366061473512468,-0.004428569433441528,-0.005292174465790316,-0.017790072896958,-0.004723381368140494,-0.005641375610299428,-0.018089809071297366,25.365968892941066,30.207087919840053,20.986730336167337,0.5,0.5,0.5
16,23.88095180900852,30.16204146572005,18.13793836963773,0.15743402616853813,0.2828499269774681,0.09627468763718867,0.9412447241464713,0.1571486167658302,0.2828613214651886,0.09574343792128683,0.9413431782100332,-0.005099961231751146,-0.006121890847099754,-0.02036654953245308,-0.005719526879205286,-0.006830446082028131,-0.020986829190263522,23.934172152857364,30.14222447869419,18.213600596431235,0.5,0.5,0.5
18,22.367936027417525,29.990439926401987,15.13857453526909,0.1520977856763572,0.2762998854031038,0.07472165484413337,0.9460133779265147,0.15228737746098808,0.2762924709695589,0.07507553881874843,0.9459570226086725,-0.005630508042425774,-0.006979996639121677,-0.02280276024074578,-0.005230588576550328,-0.00654983788742028,-0.022396487819527383,22.332442781847316,30.002433330988246,15.08811644940084,0.5,0.5,0.5
