Tiempo,Roll_est,Pitch_est,Yaw_est,q0_real,q1_real,q2_real,q3_real,q0_est,q1_est,q2_est,q3_est,w0_est,w1_est,w2_est,w0_real,w1_real,w2_real,Roll_real,Pitch_real,Yaw_real,usx,usy,usz
0,30.09313136402461,30.065234842204433,30.09313136402461,0.1771,0.3063,0.1771,0.9202,0.1771,0.3063,0.1771,0.9202,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,30.09313136402461,30.065234842204433,30.09313136402461,0.5,0.5,0.5
2,29.994004610415615,29.999589327340082,29.911484912311767,0.17688030218229472,0.30604148261594566,0.17592204115121057,0.9187510027506505,0.17696618176715942,0.3060371964001638,0.17608422012836636,0.9187048232985748,-0.0005341099164232144,-0.0006172794474935754,-0.0024509009516386153,-0.00025321185803133135,-0.00033096661497089965,-0.0021697193937605715,29.97845987386378,30.007777381584674,29.888805010356485,0.5,0.5,0.5
4,29.706393654278145,30.042258180218724,29.349647581502662,0.1760212087296633,0.30506546797127776,0.17218822272492987,0.9199471779855861,0.17604401681119913,0.30506429437878574,0.17223033963747525,0.9199353186765424,-0.0012807736847838867,-0.0013327325974222433,-0.005105924525005757,-0.001313547513291174,-0.0014697507606883675,-0.005146475384573275,29.70228728454564,30.044381398613513,29.343738815610237,0.5,0.5,0.5
6,29.26550859973096,30.079229004568337,28.475295353886402,0.1745227196437502,0.303371262346059,0.1658986319645227,0.9219464959654695,0.17472625586457696,0.3033613424558763,0.16627722126126473,0.9218430002470851,-0.0017123013303209137,-0.00205112208609505,-0.007496189608495554,-0.002084999369165458,-0.002320344816661997,-0.007834260292736603,29.228623196093036,30.097830884743004,28.422112943646884,0.5,0.5,0.5
8,28.59260674517792,30.144783588918287,27.174062948452086,0.17238483492742404,0.30095817204546443,0.15705335619766397,0.9246847520496632,0.17257127276702444,0.30094939619045763,0.157399336835683,0.9245940003654877,-0.00240257347683452,-0.002775353106062212,-0.010073868958872004,-0.002781339935563599,-0.003096521268900613,-0.010446846545075604,28.55866650854541,30.161271343219898,27.125323737899027,0.5,0.5,0.5
10,27.707192116301954,30.219288330919337,25.47371450773528,0.16960755458477736,0.2978255033998062,0.1456524828363353,0.9280725193625953,0.16967725647150114,0.29782231132811604,0.14578121979254363,0.9280405893425576,-0.0031057055674752415,-0.0034935877780394283,-0.012681307501973606,-0.0022527281004496957,-0.0026484389814434685,-0.011834392946473038,27.69444477032237,30.225185530981847,25.45551489722789,0.5,0.5,0.5
12,26.653702265483293,30.271179572795017,23.436527214258557,0.16619087862112664,0.2939725627645567,0.13169609937682206,0.9319961703857517,0.16627010665494876,0.2939691159444196,0.1318428519478823,0.9319623774026811,-0.003740187541448605,-0.004213911012325042,-0.015233739751561205,-0.0036723899839642463,-0.0041493240504819635,-0.015170125533991144,26.63910226938417,30.27754605562707,23.415718341223922,0.5,0.5,0.5
14,25.377909568219273,30.311864391475485,20.982489170010904,0.1621348070430124,0.28939865652037405,0.1151842933997106,0.9363190164165935,0.16203065432574504,0.28940295725881127,0.1149906692750046,0.9363595150199052,-0.00442759607956748,-0.004931462773819679,-0.017836220181783796,-0.004722230550099534,-0.0052810814160350215,-0.018135949188546982,25.39725652236709,30.30401762059049,21.010027977637016,0.5,0.5,0.5
16,23.92173972811572,30.30816204253681,18.167706600010067,0.1574393398581993,0.2841030910731258,0.09611715256988473,0.9408824479655081,0.15715198649255835,0.28411458607906126,0.09558398681773858,0.9409813263729482,-0.005099124597203462,-0.00565008094278086,-0.020427711860890534,-0.005718223486886185,-0.006359684742135662,-0.021047837515099053,23.97540638093772,30.288212189930412,18.243792542947606,0.5,0.5,0.5
18,22.41827020268826,30.19990020070172,15.174644585232397,0.1521044770756758,0.27808517285391315,0.07449476463652288,0.945506951182324,0.1522958174967627,0.2780776689249523,0.07485030531325801,0.9454502767532353,-0.005628652293704632,-0.00638410170696762,-0.022880761468395867,-0.005229137398523926,-0.005953902608961756,-0.02247455903477799,22.38236632500405,30.212000303708546,15.123803474644964,0.5,0.5,0.5
20,20.709506970226006,30.032010205572103,11.771592285890517,0.14613021870565437,0.2713442083190953,0.050317217433095036,0.9499928723008987,0.14655378084515228,0.27132812922617744,0.05110754968496991,0.9498900220424533,-0.006230083419996199,-0.00711220668956229,-0.025395011366254685,-0.006708459698074707,-0.007517222405529138,-0.025869601077579758,20.62969182126476,30.055880512217428,11.65844155212864,0.5,0.5,-0.12
22,18.740615785309643,29.771164973200214,8.02232363590946,0.13950586684038271,0.2638380944982898,0.02548473872120053,0.9540849548656225,0.13923543488024212,0.26384779130247865,0.024978313610716948,0.9541351689083041,-0.007011869651213982,-0.00790063291840812,-0.024269862568007353,-0.00676799163911102,-0.007722696509411673,-0.024023087613870363,18.791645048626815,29.757976871843788,8.094839460387828,0.5,0.5,-0.5
24,16.940188897521974,29.25658918402898,4.769933527859733,0.13221416678417194,0.25550003613058114,0.0030621648619516724,0.9577211330993992,0.13200040331879587,0.25550697530031846,0.0026591538519068238,0.9577499715465146,-0.007670237650235396,-0.008760645602913777,-0.02068247473460325,-0.007092176735869644,-0.00823002678191278,-0.02009881100921234,16.980391524338813,29.247675584851933,4.827454233988929,0.5,0.5,-0.5
