Tiempo,Roll_est,Pitch_est,Yaw_est,q0_real,q1_real,q2_real,q3_real,q0_est,q1_est,q2_est,q3_est,w0_est,w1_est,w2_est,w0_real,w1_real,w2_real,Roll_real,Pitch_real,Yaw_real
0,1.3971161101477374,1.3128588992063577,1.8560200988003832,0.0,0.0,0.0,1.0,0.0120039,0.0116517,0.0160542,0.999731,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0
2,1.2251949548371714,0.8949740792776802,0.9221686396667826,-4.2434377672888115e-05,-8.282486371978747e-05,-0.00027630406590337776,0.9999999574977135,0.0106281204155873,0.00789538029047145,0.007963147808658646,0.9998806400283374,-0.0009002808138566253,-0.0024003244700836054,-0.002400181697821468,-0.02049744525794193,-0.047259391880522215,-0.15724113848455343,-0.004859998949443951,-0.00949237346190309,-0.03166171163139258
4,1.15281731203392,0.713372243712111,0.5177471846930626,-3.7314077239444694e-05,-0.00032856333015950404,-0.001039178762746827,0.9999994053804716,0.010031635928269595,0.006270380739156665,0.004455238659865953,0.9999200965349543,0.0015993854935677286,-0.004900096605507919,-0.0037977919354059498,0.031200511419158406,-0.07402036693101027,-0.2096841957368551,-0.004236750973244084,-0.03765500796657787,-0.11907975026843888
6,1.108602481250947,0.5989284830473721,0.26617626060275545,1.2059803254866053e-05,-0.0007876977655688934,-0.002318028385507501,0.9999970030611067,0.009661932615887152,0.005248825751780289,0.002272120228712056,0.9999369651913163,-0.0009010082599260248,-0.007399682480047659,-0.004762865790650587,-0.019920541673258695,-0.11670147263451117,-0.29533704353675055,0.0015911828794493736,-0.09026007841335874,-0.2656280601922689
8,1.0766380826745958,0.5110567977916436,0.0791687220696646,2.070998082952079e-05,-0.0013806117082501256,-0.003711048878352348,0.9999921607685883,0.009392124753924737,0.004466090139996979,0.0006489388855038947,0.9999457089811381,0.0015985265958570426,-0.00989913829152502,-0.005465526665420829,0.03225127049936714,-0.14346877906218486,-0.30755936696178776,0.0029602935333627014,-0.15819660182026346,-0.42526034483767033
10,1.0507304183090338,0.4325630992055145,-0.07944778520190529,7.604921584204284e-05,-0.0021871135682495577,-0.005440724631001307,0.9999828044852801,0.009171773673715584,0.0037682994994216513,-0.000727890704588999,0.9999505731093327,-0.0009020335300300796,-0.0123988277175162,-0.005985951486951771,-0.018259756446834134,-0.18617259201539385,-0.36754981962140787,0.010078125053218633,-0.25057382895100816,-0.6234877241785397
12,1.0289501350151193,0.3575091332845645,-0.22158827451769456,9.316080415764631e-05,-0.003127337957996668,-0.007167657772851092,0.9999694174125587,0.008985135376401627,0.003102355960397372,-0.0019616475123209374,0.9999528962250174,0.0015973077037136232,-0.014898707163974073,-0.006374303616747335,0.03451655928129403,-0.21294772305482584,-0.36168192279839567,0.01324402301956865,-0.3582813894575903,-0.8214055408426933
14,1.0099074790498892,0.2811810800988865,-0.3564417623807944,0.00015976117944072694,-0.004281382332237715,-0.009145903779930563,0.9999489970422187,0.00882055430187696,0.0024262451507404766,-0.0031320309025447478,0.9999532496765544,-0.0009034662836998924,-0.017399243663421427,-0.006640780163262943,-0.01531818916259993,-0.25567016387965663,-0.407061720212229,0.022794258887617977,-0.49042380549652687,-1.0481651582320612
16,0.9933148669551952,0.2031489113898819,-0.4857497634808447,0.0001909015296574167,-0.0055322573369939445,-0.011050129172828422,0.9999236232486095,0.008675621981343662,0.0017359811928004773,-0.004254154657625885,0.999951809899199,0.001595652113290066,-0.018500315047127073,-0.006796339389298638,0.03803900420007122,-0.25789484514614447,-0.3877414609328445,0.028881029939755682,-0.6336727628050707,-1.2664564112384873
18,0.9782859211263432,0.12347317926724338,-0.6128626989644502,0.0002752650475730116,-0.006841788628162802,-0.013135838591527593,0.9998902759313236,0.008542686943900292,0.0010317939524524412,-0.0053572110803998835,0.9999486277756764,-0.0009053665107593576,-0.018362426705103366,-0.006805667344147494,-0.011406461804018837,-0.25431840784179083,-0.4180853648943894,0.04184215099745748,-0.7835352777560072,-1.5056209131302325
20,0.9644582430404377,0.044509402706097094,-0.7368454649286494,0.0003270660458339155,-0.008025499048939526,-0.015066022546922408,0.9998542390555899,0.00841870941573746,0.0003342774307705067,-0.006433186185151991,0.9999438122744099,0.0015934648957386557,-0.017165259448307657,-0.006634182621826439,0.04195108797599635,-0.21620347037947915,-0.37948962254772733,0.051335689940862676,-0.9189951424482636,-1.7269717394552213
22,0.9510978170101315,-0.032353030449942616,-0.8588046126566432,0.0004336821111459928,-0.009072702964656081,-0.01707473959116739,0.9998129581319875,0.008297449644667797,-0.0003445179210089991,-0.007491812223052937,0.9999374512370316,-0.0009079071762744438,-0.014969280322049557,-0.006246153374314214,-0.007843439331575705,-0.1764945220697684,-0.38631649960016423,0.06744995372574206,-1.0386690556672433,-1.9574082357278266
24,0.9379759444529067,-0.10458398996387085,-0.9767190757967039,0.0005071689364922684,-0.009833365531355439,-0.01880462999358747,0.999774691414421,0.008177213378049815,-0.0009823699540426637,-0.00851561940367779,0.9999298237160521,0.0015904938095577747,-0.012473936870419072,-0.005612301139044442,0.044898723039672954,-0.11557580792707897,-0.3203321611530097,0.0793089586120163,-1.1255463215149093,-2.1558623879186483
26,0.9247138473689547,-0.17131848932030586,-1.090548546953268,0.0006328058220178709,-0.01036999910426175,-0.020471651496898457,0.9997364523514979,0.008054961289931058,-0.0015717143456085332,-0.009504303513930286,0.9999211546553801,-0.0009113820217204867,-0.009979662727281569,-0.004712733151260439,-0.005694310522260444,-0.07059106667536702,-0.2968730428232889,0.09684266596992513,-1.1866015235248644,-2.34717183451311
28,0.9114564541714684,-0.23102427355479746,-1.1977647439682577,0.0007208467228622205,-0.010601625426727383,-0.02170424192772027,0.9997079632575988,0.007932351717594403,-0.0020990277888495194,-0.010435892364347187,0.999911878131833,0.0015864760654035743,-0.007485730215325304,-0.0035172293208639844,0.04631534494399186,-0.009660859624195474,-0.19771100543947706,0.10897084960880514,-1.2127997337697096,-2.4886120472267588
30,0.8981768171607328,-0.28333593548254377,-1.297710811743008,0.0008563059489950554,-0.01060930559670978,-0.022714195625026967,0.9996853378398551,0.007809464987631735,-0.0025610959074470595,-0.011304659930140923,0.9999023240838195,-0.0009159400369101984,-0.004992571031138283,-0.002125500614814393,-0.00496205783252654,0.03536237014112234,-0.14515578415344121,0.12573733031577447,-1.213216140275388,-2.6045577181335053
