Tiempo,Roll_est,Pitch_est,Yaw_est,q0_real,q1_real,q2_real,q3_real,q0_est,q1_est,q2_est,q3_est,w0_est,w1_est,w2_est,w0_real,w1_real,w2_real,Roll_real,Pitch_real,Yaw_real
0,1.3971161101477374,1.3128588992063577,1.8560200988003832,0.0,0.0,0.0,1.0,0.0120039,0.0116517,0.0160542,0.999731,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0
2,0.02097409534206066,-0.01886513438829248,-0.01243658324508323,5.000001688735649e-07,5.000064994039852e-07,4.999972048077169e-07,0.9999999999996251,0.00018301563892490877,-0.00016464921454734712,-0.00010849952647258113,0.9999999638118818,8.164028017483389e-05,9.6338928411571e-05,4.788230428013766e-05,0.00010000008106034331,0.00010000311971157568,9.999865830181763e-05,5.729582751268611e-05,5.729649564216651e-05,5.729548785592934e-05
4,0.00013097342631855025,0.00011418893710224641,3.6495954404939196e-05,9.989503157054162e-07,9.975321687023195e-07,9.988955258554982e-07,0.9999999999985046,1.1429584435693078e-06,9.964868249104215e-07,3.1848614506865624e-07,0.9999999999987997,-9.800455080264108e-05,0.00025820318893704324,0.00015701567726285527,9.949595643430267e-05,9.880795169250607e-05,9.947307475339781e-05,0.00011447138824901113,0.00011430865204541127,0.00011446510980095316
6,0.00017158444273173567,0.00017259317823581057,0.00017161927017495107,1.4973917512884112e-06,1.5058188172703407e-06,1.5000478918053278e-06,0.9999999999966201,1.4973544797142794e-06,1.506161855876489e-06,1.4976584069491211e-06,0.9999999999966233,-9.965569207714748e-05,0.0002638808270499994,0.00013497484187541985,9.995755514137649e-05,0.00010564646705591335,0.00010129081461047582,0.00017158871409296548,0.00017255386849072076,0.0001718930849174652
8,0.00022890584848681204,0.0002344838219158118,0.0002304167042511129,1.998001150316057e-06,2.0460693779927366e-06,2.0096969291789113e-06,0.9999999999938913,1.9975762520306863e-06,2.0462613842006556e-06,2.0107609828148487e-06,0.9999999999938898,-0.00010079618196162868,0.00026857116427515267,0.00011563144475727096,0.00010035195609157672,0.00011141522686673393,0.00010282436146161046,0.00022895453795003894,0.00023446181977081987,0.0002302947727417535
10,0.0002865187692404971,0.0002994750228926001,0.00028959175976501816,2.5007172809493923e-06,2.6132056487242928e-06,2.52662478768217e-06,0.9999999999902669,2.5003413414607105e-06,2.613418907252578e-06,2.5271583128119862e-06,0.9999999999902659,-0.00010149432572760511,0.0002723783671433305,9.976640038705055e-05,0.00010081104454841924,0.00011624410818827256,0.00010417120787257685,0.0002865618485110824,0.0002994505853093873,0.0002895306223400847
12,0.0003443585709153782,0.0003670597632436588,0.00034948672800328844,3.0054165438209943e-06,3.2029777961662404e-06,3.0497762461400552e-06,0.9999999999857037,3.005085665661722e-06,3.203209875142956e-06,3.049837421881649e-06,0.9999999999857035,-0.0001020592017917933,0.0002755388609921101,8.564730513087917e-05,0.00010112024369632939,0.00012034889930960193,0.00010527292737946671,0.00034439648665593497,0.0003670331688573311,0.00034947971782120886
14,0.00040238420627036395,0.0004368254174272899,0.0004099856973778118,3.511741792814765e-06,3.811785336490962e-06,3.5781332344428167e-06,0.9999999999801674,3.511450990016786e-06,3.812033458513965e-06,3.5777867668317257e-06,0.9999999999801688,-0.00010234361817285502,0.00027804599234240084,7.380872362735294e-05,0.00010146785795448532,0.0001237391849104366,0.0001062291506326284,0.000402417529865963,0.00043679698447919574,0.00041002539966870027
16,0.0004606048346711846,0.0005083901378563265,0.00047100500782279686,4.01977307945219e-06,4.436295930377689e-06,4.110967590178237e-06,0.9999999999736304,4.0195172222359955e-06,4.436557416515348e-06,4.11027625702606e-06,0.999999999973633,-0.00010244076383822694,0.00028001248667524264,6.367962212379326e-05,0.00010180011472450592,0.0001265302548527602,0.00010703955209611353,0.00046063415397676127,0.000508360173313187,0.00047108422877613864
18,0.0005190154035167322,0.0005814416279575749,0.0005324693098382292,4.5294656128843166e-06,5.0737839009303565e-06,4.647630787582835e-06,0.99999999996607,4.529240252469518e-06,5.0740564538795e-06,4.646648329480224e-06,0.9999999999660742,-0.00010234314087938392,0.0002815399559224218,5.5243825022602935e-05,0.00010213237107142159,0.00012885190144434978,0.00010774281333091522,0.0005190412283440917,0.0005814103950602817,0.000532581891233456
